PERMNO,quarter_date,weight
14593.0,1984-03-31,0.0033568353018308306
20482.0,1984-03-31,0.011286397115201437
60871.0,1984-03-31,0.0012748840255868302
10516.0,1984-03-31,0.004001574434108886
26331.0,1984-03-31,9.32331021851558e-05
39116.0,1984-03-31,4.7424336185572665e-05
24109.0,1984-03-31,0.006672829227318632
57904.0,1984-03-31,0.000675385957633323
17224.0,1984-03-31,9.465405607835648e-05
14702.0,1984-03-31,0.0004473806477654859
12299.0,1984-03-31,8.445412268948414e-06
61241.0,1984-03-31,0.0035321684344302513
10460.0,1984-03-31,0.001279397877128748
14008.0,1984-03-31,0.00014626986630774836
27051.0,1984-03-31,0.008252932506116207
10057.0,1984-03-31,0.00029059526939322213
39490.0,1984-03-31,0.0006961458787169406
28222.0,1984-03-31,0.0032440082766131764
47351.0,1984-03-31,7.971619329080366e-06
52046.0,1984-03-31,5.342670491884272e-05
44601.0,1984-03-31,0.001205848215805088
23544.0,1984-03-31,0.0004671646545424693
59176.0,1984-03-31,0.015255442016703417
19561.0,1984-03-31,0.008377595431376091
58827.0,1984-03-31,0.006903128289912395
27887.0,1984-03-31,0.005387267934349699
39642.0,1984-03-31,0.0016462782007468952
10866.0,1984-03-31,0.0013748595766579646
49656.0,1984-03-31,0.0009815340999620524
52484.0,1984-03-31,1.518941921840654e-05
62519.0,1984-03-31,4.252805088053269e-05
19393.0,1984-03-31,0.014714814669107866
11260.0,1984-03-31,0.00710852921482129
56274.0,1984-03-31,0.0015322463675332717
18542.0,1984-03-31,0.011051808845491057
59192.0,1984-03-31,0.0020074962383966823
50198.0,1984-03-31,1.865596881790748e-05
56354.0,1984-03-31,0.0003160092677319022
40715.0,1984-03-31,9.888037408726017e-05
64186.0,1984-03-31,0.007183814842145256
23473.0,1984-03-31,0.00089981905286933
18729.0,1984-03-31,0.004204966590266448
46578.0,1984-03-31,0.0015369503028196748
25022.0,1984-03-31,0.00028539077080353255
23229.0,1984-03-31,0.0019204888745908866
61532.0,1984-03-31,5.687214984030469e-05
35327.0,1984-03-31,4.568808690099791e-06
52388.0,1984-03-31,0.00047262977465961994
31069.0,1984-03-31,0.0007176658514942298
25320.0,1984-03-31,0.004441295075241169
21769.0,1984-03-31,1.0249224851674755e-05
52003.0,1984-03-31,0.0001236297875309146
25559.0,1984-03-31,1.1213824648629308e-05
62148.0,1984-03-31,0.007776811536125685
23660.0,1984-03-31,0.00030110936503639264
23210.0,1984-03-31,0.002567269919879746
64936.0,1984-03-31,0.004062532959529219
26112.0,1984-03-31,0.0033115177507536575
28557.0,1984-03-31,1.4672142143250152e-05
22699.0,1984-03-31,0.00024423268264778426
11703.0,1984-03-31,0.02666101342445326
19350.0,1984-03-31,0.0050850390298823
10559.0,1984-03-31,0.0016914620416491096
26403.0,1984-03-31,0.005230083408442443
25953.0,1984-03-31,0.0027126281774099183
20626.0,1984-03-31,0.014091943099405136
51924.0,1984-03-31,2.3348856017820247e-05
11674.0,1984-03-31,0.003802951085335323
27959.0,1984-03-31,0.005419151012254792
38543.0,1984-03-31,3.778615550208648e-05
11404.0,1984-03-31,0.007057286489974144
52476.0,1984-03-31,0.0003998274172375276
22103.0,1984-03-31,0.009686191134824277
33284.0,1984-03-31,1.7687561544401397e-05
24328.0,1984-03-31,0.0009370822656108805
33516.0,1984-03-31,0.00014794917545425828
18251.0,1984-03-31,0.0002985974834233523
11762.0,1984-03-31,0.0033034741772202565
25785.0,1984-03-31,0.013960985314404263
53517.0,1984-03-31,5.713418778911064e-06
18550.0,1984-03-31,0.005145403224906314
60628.0,1984-03-31,0.003558938797848805
60636.0,1984-03-31,5.85429604587452e-05
28441.0,1984-03-31,0.000378023593622721
34746.0,1984-03-31,0.0005167164555880773
27860.0,1984-03-31,0.0008677835680275254
12052.0,1984-03-31,0.005451285929875009
12060.0,1984-03-31,0.05653872680527435
62260.0,1984-03-31,0.0009489173158003019
40361.0,1984-03-31,0.00017743226903255848
17144.0,1984-03-31,0.004919869570285322
51836.0,1984-03-31,0.00026693196783683475
22293.0,1984-03-31,0.003145706652287441
12079.0,1984-03-31,0.04650669911875307
46674.0,1984-03-31,0.003177698794636092
16424.0,1984-03-31,0.003333163218462105
52695.0,1984-03-31,0.0018613204224662348
23819.0,1984-03-31,0.011499461446154763
52978.0,1984-03-31,0.000466577689537144
42906.0,1984-03-31,0.0005067714780412865
51561.0,1984-03-31,0.007832530718991244
23309.0,1984-03-31,0.0032919303432593456
18374.0,1984-03-31,0.005987656648044877
