fdate,market_volume,ln_market_volume
1990-01-02,162070000,18.903538898634302
1990-01-03,192330000,19.07472320463155
1990-01-04,177000000,18.991660290538103
1990-01-05,158530000,18.88145440781941
1990-01-08,140110000,18.757938386347416
1990-01-09,155210000,18.860289596627368
1990-01-10,175990000,18.985937733206395
1990-01-11,154390000,18.85499242661811
1990-01-12,183880000,19.0297939289023
1990-01-15,140590000,18.76135841105609
1990-01-16,186070000,19.041633504963823
1990-01-17,170470000,18.954069886127108
1990-01-18,178590000,19.000603233797683
1990-01-19,185590000,19.039050497554488
1990-01-22,148380000,18.815287108725656
1990-01-23,179300000,19.004570938575363
1990-01-24,207830000,19.152230995795257
1990-01-25,172270000,18.96457357142255
1990-01-26,198190000,19.10473672450053
1990-01-29,150770000,18.8312660547551
1990-01-30,186030000,19.04141850899417
1990-01-31,189660000,19.060743553419854
1990-02-01,154580000,18.856222319643
1990-02-02,164400000,18.917813040586353
1990-02-05,130950000,18.690326128917995
1990-02-06,134070000,18.713872609577745
1990-02-07,186710000,19.045067168941518
1990-02-08,176240000,18.98735726045836
1990-02-09,146910000,18.80533071234661
1990-02-12,118390000,18.58949481738782
1990-02-13,144490000,18.788720858969793
1990-02-14,138530000,18.74659746663406
1990-02-15,174620000,18.978122742346937
1990-02-16,166840000,18.93254582729302
1990-02-20,147300000,18.80798188143286
1990-02-21,159240000,18.88592305609639
1990-02-22,184320000,19.0321839354718
1990-02-23,148490000,18.816028173872244
1990-02-26,148900000,18.818785497654236
1990-02-27,152590000,18.843265143867917
1990-02-28,184400000,19.032617869086767
1990-03-01,157930000,18.877662454846238
1990-03-02,164330000,18.91738715915747
1990-03-05,140110000,18.757938386347416
1990-03-06,143640000,18.782820727322157
1990-03-07,163580000,18.912812725271102
1990-03-08,170900000,18.95658914808582
1990-03-09,150410000,18.828875456631398
1990-03-12,114790000,18.558614930041678
1990-03-13,145440000,18.795274188393442
1990-03-14,145060000,18.79265800789954
1990-03-15,144410000,18.78816703410275
1990-03-16,222520000,19.220527543171368
1990-03-19,142300000,18.77344806306008
1990-03-20,177320000,18.99346656784113
1990-03-21,130990000,18.690631542373833
1990-03-22,175930000,18.98559674661523
1990-03-23,132070000,18.698842643019987
1990-03-26,116110000,18.570048575603188
1990-03-27,131610000,18.695353561810506
1990-03-28,142300000,18.77344806306008
1990-03-29,132190000,18.699750839555584
1990-03-30,139340000,18.752427547566246
1990-04-02,124360000,18.638691143154826
1990-04-03,154310000,18.85447412404739
1990-04-04,159530000,18.88774255027718
1990-04-05,144170000,18.786503716788086
1990-04-06,137490000,18.739061745153418
1990-04-09,114970000,18.560181782729924
1990-04-10,136020000,18.728312491711765
1990-04-11,141080000,18.764837663332127
1990-04-12,142470000,18.774642009193414
1990-04-16,142810000,18.777025633429115
1990-04-17,127990000,18.667462693831975
1990-04-18,147130000,18.80682710767413
1990-04-19,152930000,18.845490858324307
1990-04-20,174260000,18.976058994767413
1990-04-23,136150000,18.729267777084043
1990-04-24,137360000,18.738115774553496
1990-04-25,133480000,18.70946221184745
1990-04-26,141330000,18.766608139344335
1990-04-27,130630000,18.687879457462746
1990-04-30,122750000,18.625660324638904
1990-05-01,149020000,18.819591083089854
1990-05-02,141610000,18.76858735819924
1990-05-03,145560000,18.796098930708233
1990-05-04,140550000,18.761073855316816
1990-05-07,132760000,18.70405354481605
1990-05-08,144230000,18.786919805559695
1990-05-09,152220000,18.84083740080352
1990-05-10,158460000,18.88101275350137
1990-05-11,234040000,19.27100259888431
1990-05-14,225410000,19.233431524158142
1990-05-15,165730000,18.925870516099728
1990-05-16,159810000,18.88949616756129
1990-05-17,164770000,18.920061120033616
1990-05-18,162520000,18.9063116290838
1990-05-21,166280000,18.92918367234871
1990-05-22,203350000,19.130439190317507
1990-05-23,172330000,18.96492180125776
1990-05-24,155140000,18.859838493027
1990-05-25,120250000,18.605083466950145
1990-05-29,137410000,18.738479715307957
1990-05-30,199540000,19.111525275449637
1990-05-31,165690000,18.92562913054548
